2000000 8006 22
1F00160 7FE6 60
1E00AAE 7F86 9F
1D023EC 7EE8 DE
1C054DA 7E0B 119
1B0A518 7CF3 155
1A11C0D 7BA0 18B
191C0C4 7A15 1BE
1829A12 7858 1F2
173AE40 7668 220
165033E 7449 248
1569EA8 7202 26F
1488563 6F93 291
13ABC19 6D04 2B2
12D46B7 6A54 2C9
12028D0 678B 2DF
1136566 64AC 2F1
106FEF3 61BA 2FE
FAF78D 5EBB 309
EF50BE 5BB2 310
E40B7A 58A1 314
D92894 558E 315
CEA826 527A 312
C48A0F 4F69 30D
BACDC4 4C5C 303
B17275 4958 2F9
A87705 465F 2ED
9FD9F3 4371 2DE
9799A8 4092 2CF
8FB44B 3DC3 2BE
8827C7 3B05 2AC
80F1ED 3859 298
7A1045 6B75 9EC
6D4037 6189 945
61A328 5844 89B
572415 4FAA 7F1
4DADA6 47BA 74B
452AE5 4071 6AB
3D873C 39C7 612
36AF4C 33B7 581
30905B 2E37 4FA
2B18FC 293E 47E
2638FB 24C2 40A
21E13A 20B9 3A0
1E03FB 1D1A 33E
1A9488 19DC 2E6
17875A 16F6 297
14D1F6 145F 24F
126AEF 1210 20E
1049BB 1002 1D4
E66AA E2E 1A0
CBAD6 C8E 172
B4028 B1D 148
9F100 9D5 123
8C87F 8B2 102
7C253 7B1 E5
6DA76 6CC CA
60D85 602 B3
55866 54F 9E
4B85B 4B1 8C
42AF1 425 7C
3AE07 3A9 6D
33FB2 33C 61
2DE38 2DB 56
